county,precinct,office,district,candidate,votes,party
Washoe,Washoe-6528,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,0,
Washoe,Washoe-6528,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",0,
Washoe,Washoe-6528,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",0,
Washoe,Washoe-6528,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,0,
Washoe,Washoe-6528,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,0,
Washoe,Washoe-6528,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",0,
Washoe,Washoe-6528,"Justice of the Peace, Sparks, Dept. 3",,"Lee, Matt",0,
Washoe,Washoe-6528,"Justice of the Peace, Sparks, Dept. 3",,"Longley, Jessica",0,
Washoe,Washoe-6528,President,,"CASTLE, DARRELL",0,IAP
Washoe,Washoe-6528,President,,"CLINTON, HILLARY",0,DEM
Washoe,Washoe-6528,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Washoe,Washoe-6528,President,,"JOHNSON, GARY",0,LPN
Washoe,Washoe-6528,President,,None Of These Candidates,0,
Washoe,Washoe-6528,President,,"TRUMP, DONALD J.",0,REP
Washoe,Washoe-6528,"Sparks City Council, Ward 1",,"Abbott, Donald",0,
Washoe,Washoe-6528,"Sparks City Council, Ward 1",,"Lopez, Denise",0,
Washoe,Washoe-6528,"Sparks City Council, Ward 3",,"Rhoads, John",0,
Washoe,Washoe-6528,"Sparks City Council, Ward 3",,"Smith, Ron",0,
Washoe,Washoe-6528,"Sparks City Council, Ward 5",,"Dahir, Kristopher",0,
Washoe,Washoe-6528,"Sparks City Council, Ward 5",,"Walter, John",0,
Washoe,Washoe-6528,"State Assembly, District 30",,"Scott, Lauren A",0,REP
Washoe,Washoe-6528,"State Assembly, District 30",,"Sprinkle, Michael",0,DEM
Washoe,Washoe-6528,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",0,
Washoe,Washoe-6528,"State Board of Education, Dist. 2",,"HICKEY, PAT",0,
Washoe,Washoe-6528,STATE QUESTION NO.1,,No,0,
Washoe,Washoe-6528,STATE QUESTION NO.1,,Yes,0,
Washoe,Washoe-6528,STATE QUESTION NO.2,,No,0,
Washoe,Washoe-6528,STATE QUESTION NO.2,,Yes,0,
Washoe,Washoe-6528,STATE QUESTION NO.3,,No,0,
Washoe,Washoe-6528,STATE QUESTION NO.3,,Yes,0,
Washoe,Washoe-6528,STATE QUESTION NO.4,,No,0,
Washoe,Washoe-6528,STATE QUESTION NO.4,,Yes,0,
Washoe,Washoe-6528,"State Senate, District 13",,"Bailey, Kent",0,REP
Washoe,Washoe-6528,"State Senate, District 13",,"Jacobs, Brandon",0,LPN
Washoe,Washoe-6528,"State Senate, District 13",,"Ratti, Julia",0,DEM
Washoe,Washoe-6528,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",0,
Washoe,Washoe-6528,"Supreme Court Justice, Seat A",,None Of These Candidates,0,
Washoe,Washoe-6528,"Supreme Court Justice, Seat E",,None Of These Candidates,0,
Washoe,Washoe-6528,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",0,
Washoe,Washoe-6528,U.S. House,2,"Amodei, Mark E.",0,REP
Washoe,Washoe-6528,U.S. House,2,"EVANS, H.D. CHIP""""",0,DEM
Washoe,Washoe-6528,U.S. House,2,"Everhart, John H.",0,IAP
Washoe,Washoe-6528,U.S. House,2,"KNIGHT, DREW",0,
Washoe,Washoe-6528,U.S. Senate,,"CORTEZ MASTO, CATHERINE",0,DEM
Washoe,Washoe-6528,U.S. Senate,,"GUMINA, TONY",0,
Washoe,Washoe-6528,U.S. Senate,,"HECK, JOE",0,REP
Washoe,Washoe-6528,U.S. Senate,,"JONES, TOM",0,IAP
Washoe,Washoe-6528,U.S. Senate,,None Of These Candidates,0,
Washoe,Washoe-6528,U.S. Senate,,"SAWYER, THOMAS TOM""""",0,
Washoe,Washoe-6528,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Washoe,Washoe-6528,WASHOE QUESTION 1,,No,0,
Washoe,Washoe-6528,WASHOE QUESTION 1,,Yes,0,
Washoe,Washoe-6529,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,0,
Washoe,Washoe-6529,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",0,
Washoe,Washoe-6529,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",0,
Washoe,Washoe-6529,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,0,
Washoe,Washoe-6529,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,0,
Washoe,Washoe-6529,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",0,
Washoe,Washoe-6529,"Justice of the Peace, Sparks, Dept. 3",,"Lee, Matt",0,
Washoe,Washoe-6529,"Justice of the Peace, Sparks, Dept. 3",,"Longley, Jessica",0,
Washoe,Washoe-6529,President,,"CASTLE, DARRELL",0,IAP
Washoe,Washoe-6529,President,,"CLINTON, HILLARY",0,DEM
Washoe,Washoe-6529,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Washoe,Washoe-6529,President,,"JOHNSON, GARY",0,LPN
Washoe,Washoe-6529,President,,None Of These Candidates,0,
Washoe,Washoe-6529,President,,"TRUMP, DONALD J.",0,REP
Washoe,Washoe-6529,School Board Trustee Dist. C,,"Elser, Allen",0,
Washoe,Washoe-6529,School Board Trustee Dist. C,,"Evans, Carol Alice",0,
Washoe,Washoe-6529,School Board Trustee Dist. C,,"Feemster, Debra",0,
Washoe,Washoe-6529,School Board Trustee Dist. C,,"Hudson, Greg",0,
Washoe,Washoe-6529,School Board Trustee Dist. C,,"Stevens, Leonard Len""""",0,
Washoe,Washoe-6529,"Sparks City Council, Ward 1",,"Abbott, Donald",0,
Washoe,Washoe-6529,"Sparks City Council, Ward 1",,"Lopez, Denise",0,
Washoe,Washoe-6529,"Sparks City Council, Ward 3",,"Rhoads, John",0,
Washoe,Washoe-6529,"Sparks City Council, Ward 3",,"Smith, Ron",0,
Washoe,Washoe-6529,"Sparks City Council, Ward 5",,"Dahir, Kristopher",0,
Washoe,Washoe-6529,"Sparks City Council, Ward 5",,"Walter, John",0,
Washoe,Washoe-6529,"State Assembly, District 31",,"Daly, Richard Skip""""",0,DEM
Washoe,Washoe-6529,"State Assembly, District 31",,"Dickman, Jill",0,REP
Washoe,Washoe-6529,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",0,
Washoe,Washoe-6529,"State Board of Education, Dist. 2",,"HICKEY, PAT",0,
Washoe,Washoe-6529,STATE QUESTION NO.1,,No,0,
Washoe,Washoe-6529,STATE QUESTION NO.1,,Yes,0,
Washoe,Washoe-6529,STATE QUESTION NO.2,,No,0,
Washoe,Washoe-6529,STATE QUESTION NO.2,,Yes,0,
Washoe,Washoe-6529,STATE QUESTION NO.3,,No,0,
Washoe,Washoe-6529,STATE QUESTION NO.3,,Yes,0,
Washoe,Washoe-6529,STATE QUESTION NO.4,,No,0,
Washoe,Washoe-6529,STATE QUESTION NO.4,,Yes,0,
Washoe,Washoe-6529,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",0,
Washoe,Washoe-6529,"Supreme Court Justice, Seat A",,None Of These Candidates,0,
Washoe,Washoe-6529,"Supreme Court Justice, Seat E",,None Of These Candidates,0,
Washoe,Washoe-6529,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",0,
Washoe,Washoe-6529,U.S. House,2,"Amodei, Mark E.",0,REP
Washoe,Washoe-6529,U.S. House,2,"EVANS, H.D. CHIP""""",0,DEM
Washoe,Washoe-6529,U.S. House,2,"Everhart, John H.",0,IAP
Washoe,Washoe-6529,U.S. House,2,"KNIGHT, DREW",0,
Washoe,Washoe-6529,U.S. Senate,,"CORTEZ MASTO, CATHERINE",0,DEM
Washoe,Washoe-6529,U.S. Senate,,"GUMINA, TONY",0,
Washoe,Washoe-6529,U.S. Senate,,"HECK, JOE",0,REP
Washoe,Washoe-6529,U.S. Senate,,"JONES, TOM",0,IAP
Washoe,Washoe-6529,U.S. Senate,,None Of These Candidates,0,
Washoe,Washoe-6529,U.S. Senate,,"SAWYER, THOMAS TOM""""",0,
Washoe,Washoe-6529,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Washoe,Washoe-6529,WASHOE QUESTION 1,,No,0,
Washoe,Washoe-6529,WASHOE QUESTION 1,,Yes,0,
Washoe,Washoe-7100,County Commissioner Dist. 1,,"Berkbigler, Marsha",0,
Washoe,Washoe-7100,County Commissioner Dist. 1,,"Hooper, Levi",0,
Washoe,Washoe-7100,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,0,
Washoe,Washoe-7100,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",0,
Washoe,Washoe-7100,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",0,
Washoe,Washoe-7100,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,0,
Washoe,Washoe-7100,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,0,
Washoe,Washoe-7100,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",0,
Washoe,Washoe-7100,President,,"CASTLE, DARRELL",0,IAP
Washoe,Washoe-7100,President,,"CLINTON, HILLARY",0,DEM
Washoe,Washoe-7100,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Washoe,Washoe-7100,President,,"JOHNSON, GARY",0,LPN
Washoe,Washoe-7100,President,,None Of These Candidates,0,
Washoe,Washoe-7100,President,,"TRUMP, DONALD J.",0,REP
Washoe,Washoe-7100,School Board Trustee Dist. G (At Large),,"Holland, Katy Simon",0,
Washoe,Washoe-7100,School Board Trustee Dist. G (At Large),,"Horn, Bill",0,
Washoe,Washoe-7100,"State Assembly, District 25",,"Smith, Allen Eli""""",0,DEM
Washoe,Washoe-7100,"State Assembly, District 25",,"Tolles, Jill",0,REP
Washoe,Washoe-7100,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",0,
Washoe,Washoe-7100,"State Board of Education, Dist. 2",,"HICKEY, PAT",0,
Washoe,Washoe-7100,STATE QUESTION NO.1,,No,0,
Washoe,Washoe-7100,STATE QUESTION NO.1,,Yes,0,
Washoe,Washoe-7100,STATE QUESTION NO.2,,No,0,
Washoe,Washoe-7100,STATE QUESTION NO.2,,Yes,0,
Washoe,Washoe-7100,STATE QUESTION NO.3,,No,0,
Washoe,Washoe-7100,STATE QUESTION NO.3,,Yes,0,
Washoe,Washoe-7100,STATE QUESTION NO.4,,No,0,
Washoe,Washoe-7100,STATE QUESTION NO.4,,Yes,0,
Washoe,Washoe-7100,"State Senate, District 15",,"Colborne, David",0,LPN
Washoe,Washoe-7100,"State Senate, District 15",,"Gansert, Heidi S.",0,REP
Washoe,Washoe-7100,"State Senate, District 15",,"Reese, Devon Thomas",0,DEM
Washoe,Washoe-7100,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",0,
Washoe,Washoe-7100,"Supreme Court Justice, Seat A",,None Of These Candidates,0,
Washoe,Washoe-7100,"Supreme Court Justice, Seat E",,None Of These Candidates,0,
Washoe,Washoe-7100,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",0,
Washoe,Washoe-7100,U.S. House,2,"Amodei, Mark E.",0,REP
Washoe,Washoe-7100,U.S. House,2,"EVANS, H.D. CHIP""""",0,DEM
Washoe,Washoe-7100,U.S. House,2,"Everhart, John H.",0,IAP
Washoe,Washoe-7100,U.S. House,2,"KNIGHT, DREW",0,
Washoe,Washoe-7100,U.S. Senate,,"CORTEZ MASTO, CATHERINE",0,DEM
Washoe,Washoe-7100,U.S. Senate,,"GUMINA, TONY",0,
Washoe,Washoe-7100,U.S. Senate,,"HECK, JOE",0,REP
Washoe,Washoe-7100,U.S. Senate,,"JONES, TOM",0,IAP
Washoe,Washoe-7100,U.S. Senate,,None Of These Candidates,0,
Washoe,Washoe-7100,U.S. Senate,,"SAWYER, THOMAS TOM""""",0,
Washoe,Washoe-7100,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Washoe,Washoe-7100,WASHOE QUESTION 1,,No,0,
Washoe,Washoe-7100,WASHOE QUESTION 1,,Yes,0,
Washoe,Washoe-7300,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,48,
Washoe,Washoe-7300,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",63,
Washoe,Washoe-7300,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",67,
Washoe,Washoe-7300,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,46,
Washoe,Washoe-7300,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,41,
Washoe,Washoe-7300,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",73,
Washoe,Washoe-7300,President,,"CASTLE, DARRELL",2,IAP
Washoe,Washoe-7300,President,,"CLINTON, HILLARY",107,DEM
Washoe,Washoe-7300,President,,"DE LA FUENTE, ROQUE ROCKY""""",2,NPP
Washoe,Washoe-7300,President,,"JOHNSON, GARY",4,LPN
Washoe,Washoe-7300,President,,None Of These Candidates,2,
Washoe,Washoe-7300,President,,"TRUMP, DONALD J.",8,REP
Washoe,Washoe-7300,School Board Trustee Dist. D,,"Grein, Kenneth W.",30,
Washoe,Washoe-7300,School Board Trustee Dist. D,,"Raymond, Malena",77,
Washoe,Washoe-7300,"State Assembly, District 24",,"Joiner, Amber",104,DEM
Washoe,Washoe-7300,"State Assembly, District 24",,"Riger Sr., Jim",7,REP
Washoe,Washoe-7300,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",42,
Washoe,Washoe-7300,"State Board of Education, Dist. 2",,"HICKEY, PAT",65,
Washoe,Washoe-7300,STATE QUESTION NO.1,,No,42,
Washoe,Washoe-7300,STATE QUESTION NO.1,,Yes,82,
Washoe,Washoe-7300,STATE QUESTION NO.2,,No,65,
Washoe,Washoe-7300,STATE QUESTION NO.2,,Yes,61,
Washoe,Washoe-7300,STATE QUESTION NO.3,,No,46,
Washoe,Washoe-7300,STATE QUESTION NO.3,,Yes,73,
Washoe,Washoe-7300,STATE QUESTION NO.4,,No,23,
Washoe,Washoe-7300,STATE QUESTION NO.4,,Yes,96,
Washoe,Washoe-7300,"State Senate, District 13",,"Bailey, Kent",13,REP
Washoe,Washoe-7300,"State Senate, District 13",,"Jacobs, Brandon",9,LPN
Washoe,Washoe-7300,"State Senate, District 13",,"Ratti, Julia",93,DEM
Washoe,Washoe-7300,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",70,
Washoe,Washoe-7300,"Supreme Court Justice, Seat A",,None Of These Candidates,40,
Washoe,Washoe-7300,"Supreme Court Justice, Seat E",,None Of These Candidates,48,
Washoe,Washoe-7300,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",64,
Washoe,Washoe-7300,U.S. House,2,"Amodei, Mark E.",22,REP
Washoe,Washoe-7300,U.S. House,2,"EVANS, H.D. CHIP""""",90,DEM
Washoe,Washoe-7300,U.S. House,2,"Everhart, John H.",2,IAP
Washoe,Washoe-7300,U.S. House,2,"KNIGHT, DREW",2,
Washoe,Washoe-7300,U.S. Senate,,"CORTEZ MASTO, CATHERINE",92,DEM
Washoe,Washoe-7300,U.S. Senate,,"GUMINA, TONY",0,
Washoe,Washoe-7300,U.S. Senate,,"HECK, JOE",14,REP
Washoe,Washoe-7300,U.S. Senate,,"JONES, TOM",2,IAP
Washoe,Washoe-7300,U.S. Senate,,None Of These Candidates,15,
Washoe,Washoe-7300,U.S. Senate,,"SAWYER, THOMAS TOM""""",3,
Washoe,Washoe-7300,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Washoe,Washoe-7300,WASHOE QUESTION 1,,No,25,
Washoe,Washoe-7300,WASHOE QUESTION 1,,Yes,99,
Washoe,Washoe-7302,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,0,
Washoe,Washoe-7302,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",0,
Washoe,Washoe-7302,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",0,
Washoe,Washoe-7302,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,0,
Washoe,Washoe-7302,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,0,
Washoe,Washoe-7302,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",0,
Washoe,Washoe-7302,President,,"CASTLE, DARRELL",0,IAP
Washoe,Washoe-7302,President,,"CLINTON, HILLARY",0,DEM
Washoe,Washoe-7302,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Washoe,Washoe-7302,President,,"JOHNSON, GARY",0,LPN
Washoe,Washoe-7302,President,,None Of These Candidates,0,
Washoe,Washoe-7302,President,,"TRUMP, DONALD J.",0,REP
Washoe,Washoe-7302,School Board Trustee Dist. G (At Large),,"Holland, Katy Simon",0,
Washoe,Washoe-7302,School Board Trustee Dist. G (At Large),,"Horn, Bill",0,
Washoe,Washoe-7302,"State Assembly, District 27",,"Benitez-Thompson, Teresa",0,DEM
Washoe,Washoe-7302,"State Assembly, District 27",,"Weber, Bonnie",0,REP
Washoe,Washoe-7302,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",0,
Washoe,Washoe-7302,"State Board of Education, Dist. 2",,"HICKEY, PAT",0,
Washoe,Washoe-7302,STATE QUESTION NO.1,,No,0,
Washoe,Washoe-7302,STATE QUESTION NO.1,,Yes,0,
Washoe,Washoe-7302,STATE QUESTION NO.2,,No,0,
Washoe,Washoe-7302,STATE QUESTION NO.2,,Yes,0,
Washoe,Washoe-7302,STATE QUESTION NO.3,,No,0,
Washoe,Washoe-7302,STATE QUESTION NO.3,,Yes,0,
Washoe,Washoe-7302,STATE QUESTION NO.4,,No,0,
Washoe,Washoe-7302,STATE QUESTION NO.4,,Yes,0,
Washoe,Washoe-7302,"State Senate, District 15",,"Colborne, David",0,LPN
Washoe,Washoe-7302,"State Senate, District 15",,"Gansert, Heidi S.",0,REP
Washoe,Washoe-7302,"State Senate, District 15",,"Reese, Devon Thomas",0,DEM
Washoe,Washoe-7302,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",0,
Washoe,Washoe-7302,"Supreme Court Justice, Seat A",,None Of These Candidates,0,
Washoe,Washoe-7302,"Supreme Court Justice, Seat E",,None Of These Candidates,0,
Washoe,Washoe-7302,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",0,
Washoe,Washoe-7302,U.S. House,2,"Amodei, Mark E.",0,REP
Washoe,Washoe-7302,U.S. House,2,"EVANS, H.D. CHIP""""",0,DEM
Washoe,Washoe-7302,U.S. House,2,"Everhart, John H.",0,IAP
Washoe,Washoe-7302,U.S. House,2,"KNIGHT, DREW",0,
Washoe,Washoe-7302,U.S. Senate,,"CORTEZ MASTO, CATHERINE",0,DEM
Washoe,Washoe-7302,U.S. Senate,,"GUMINA, TONY",0,
Washoe,Washoe-7302,U.S. Senate,,"HECK, JOE",0,REP
Washoe,Washoe-7302,U.S. Senate,,"JONES, TOM",0,IAP
Washoe,Washoe-7302,U.S. Senate,,None Of These Candidates,0,
Washoe,Washoe-7302,U.S. Senate,,"SAWYER, THOMAS TOM""""",0,
Washoe,Washoe-7302,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Washoe,Washoe-7302,WASHOE QUESTION 1,,No,0,
Washoe,Washoe-7302,WASHOE QUESTION 1,,Yes,0,
Washoe,Washoe-7304,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,80,
Washoe,Washoe-7304,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",220,
Washoe,Washoe-7304,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",222,
Washoe,Washoe-7304,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,76,
Washoe,Washoe-7304,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,84,
Washoe,Washoe-7304,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",212,
Washoe,Washoe-7304,"Justice of the Peace, Sparks, Dept. 3",,"Lee, Matt",119,
Washoe,Washoe-7304,"Justice of the Peace, Sparks, Dept. 3",,"Longley, Jessica",171,
Washoe,Washoe-7304,President,,"CASTLE, DARRELL",2,IAP
Washoe,Washoe-7304,President,,"CLINTON, HILLARY",175,DEM
Washoe,Washoe-7304,President,,"DE LA FUENTE, ROQUE ROCKY""""",3,NPP
Washoe,Washoe-7304,President,,"JOHNSON, GARY",14,LPN
Washoe,Washoe-7304,President,,None Of These Candidates,9,
Washoe,Washoe-7304,President,,"TRUMP, DONALD J.",130,REP
Washoe,Washoe-7304,"State Assembly, District 27",,"Benitez-Thompson, Teresa",183,DEM
Washoe,Washoe-7304,"State Assembly, District 27",,"Weber, Bonnie",125,REP
Washoe,Washoe-7304,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",174,
Washoe,Washoe-7304,"State Board of Education, Dist. 2",,"HICKEY, PAT",116,
Washoe,Washoe-7304,STATE QUESTION NO.1,,No,192,
Washoe,Washoe-7304,STATE QUESTION NO.1,,Yes,139,
Washoe,Washoe-7304,STATE QUESTION NO.2,,No,113,
Washoe,Washoe-7304,STATE QUESTION NO.2,,Yes,218,
Washoe,Washoe-7304,STATE QUESTION NO.3,,No,86,
Washoe,Washoe-7304,STATE QUESTION NO.3,,Yes,236,
Washoe,Washoe-7304,STATE QUESTION NO.4,,No,87,
Washoe,Washoe-7304,STATE QUESTION NO.4,,Yes,233,
Washoe,Washoe-7304,"State Senate, District 15",,"Colborne, David",33,LPN
Washoe,Washoe-7304,"State Senate, District 15",,"Gansert, Heidi S.",117,REP
Washoe,Washoe-7304,"State Senate, District 15",,"Reese, Devon Thomas",165,DEM
Washoe,Washoe-7304,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",222,
Washoe,Washoe-7304,"Supreme Court Justice, Seat A",,None Of These Candidates,78,
Washoe,Washoe-7304,"Supreme Court Justice, Seat E",,None Of These Candidates,86,
Washoe,Washoe-7304,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",216,
Washoe,Washoe-7304,U.S. House,2,"Amodei, Mark E.",125,REP
Washoe,Washoe-7304,U.S. House,2,"EVANS, H.D. CHIP""""",168,DEM
Washoe,Washoe-7304,U.S. House,2,"Everhart, John H.",11,IAP
Washoe,Washoe-7304,U.S. House,2,"KNIGHT, DREW",13,
Washoe,Washoe-7304,U.S. Senate,,"CORTEZ MASTO, CATHERINE",170,DEM
Washoe,Washoe-7304,U.S. Senate,,"GUMINA, TONY",7,
Washoe,Washoe-7304,U.S. Senate,,"HECK, JOE",109,REP
Washoe,Washoe-7304,U.S. Senate,,"JONES, TOM",5,IAP
Washoe,Washoe-7304,U.S. Senate,,None Of These Candidates,19,
Washoe,Washoe-7304,U.S. Senate,,"SAWYER, THOMAS TOM""""",12,
Washoe,Washoe-7304,U.S. Senate,,"WILLIAMS, JARROD M.",6,
Washoe,Washoe-7304,WASHOE QUESTION 1,,No,147,
Washoe,Washoe-7304,WASHOE QUESTION 1,,Yes,181,
Washoe,Washoe-7306,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,17,
Washoe,Washoe-7306,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",45,
Washoe,Washoe-7306,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",46,
Washoe,Washoe-7306,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,16,
Washoe,Washoe-7306,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,18,
Washoe,Washoe-7306,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",45,
Washoe,Washoe-7306,"Justice of the Peace, Sparks, Dept. 3",,"Lee, Matt",21,
Washoe,Washoe-7306,"Justice of the Peace, Sparks, Dept. 3",,"Longley, Jessica",37,
Washoe,Washoe-7306,President,,"CASTLE, DARRELL",1,IAP
Washoe,Washoe-7306,President,,"CLINTON, HILLARY",38,DEM
Washoe,Washoe-7306,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Washoe,Washoe-7306,President,,"JOHNSON, GARY",5,LPN
Washoe,Washoe-7306,President,,None Of These Candidates,0,
Washoe,Washoe-7306,President,,"TRUMP, DONALD J.",27,REP
Washoe,Washoe-7306,"State Assembly, District 27",,"Benitez-Thompson, Teresa",38,DEM
Washoe,Washoe-7306,"State Assembly, District 27",,"Weber, Bonnie",28,REP
Washoe,Washoe-7306,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",40,
Washoe,Washoe-7306,"State Board of Education, Dist. 2",,"HICKEY, PAT",23,
Washoe,Washoe-7306,STATE QUESTION NO.1,,No,30,
Washoe,Washoe-7306,STATE QUESTION NO.1,,Yes,39,
Washoe,Washoe-7306,STATE QUESTION NO.2,,No,25,
Washoe,Washoe-7306,STATE QUESTION NO.2,,Yes,45,
Washoe,Washoe-7306,STATE QUESTION NO.3,,No,16,
Washoe,Washoe-7306,STATE QUESTION NO.3,,Yes,51,
Washoe,Washoe-7306,STATE QUESTION NO.4,,No,18,
Washoe,Washoe-7306,STATE QUESTION NO.4,,Yes,48,
Washoe,Washoe-7306,"State Senate, District 15",,"Colborne, David",5,LPN
Washoe,Washoe-7306,"State Senate, District 15",,"Gansert, Heidi S.",26,REP
Washoe,Washoe-7306,"State Senate, District 15",,"Reese, Devon Thomas",36,DEM
Washoe,Washoe-7306,Sun Valley General Improvement Dist.,,"Barstow, Joseph D.",38,
Washoe,Washoe-7306,Sun Valley General Improvement Dist.,,"Elliott, Garth T.",34,
Washoe,Washoe-7306,Sun Valley General Improvement Dist.,,"Ortiz, Carmen",43,
Washoe,Washoe-7306,Sun Valley General Improvement Dist.,,"Rider, Michael",26,
Washoe,Washoe-7306,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",44,
Washoe,Washoe-7306,"Supreme Court Justice, Seat A",,None Of These Candidates,18,
Washoe,Washoe-7306,"Supreme Court Justice, Seat E",,None Of These Candidates,21,
Washoe,Washoe-7306,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",42,
Washoe,Washoe-7306,U.S. House,2,"Amodei, Mark E.",23,REP
Washoe,Washoe-7306,U.S. House,2,"EVANS, H.D. CHIP""""",35,DEM
Washoe,Washoe-7306,U.S. House,2,"Everhart, John H.",3,IAP
Washoe,Washoe-7306,U.S. House,2,"KNIGHT, DREW",5,
Washoe,Washoe-7306,U.S. Senate,,"CORTEZ MASTO, CATHERINE",39,DEM
Washoe,Washoe-7306,U.S. Senate,,"GUMINA, TONY",3,
Washoe,Washoe-7306,U.S. Senate,,"HECK, JOE",21,REP
Washoe,Washoe-7306,U.S. Senate,,"JONES, TOM",3,IAP
Washoe,Washoe-7306,U.S. Senate,,None Of These Candidates,3,
Washoe,Washoe-7306,U.S. Senate,,"SAWYER, THOMAS TOM""""",0,
Washoe,Washoe-7306,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Washoe,Washoe-7306,WASHOE QUESTION 1,,No,25,
Washoe,Washoe-7306,WASHOE QUESTION 1,,Yes,43,
Washoe,Washoe-7307,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,3,
Washoe,Washoe-7307,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",18,
Washoe,Washoe-7307,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",19,
Washoe,Washoe-7307,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,2,
Washoe,Washoe-7307,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,3,
Washoe,Washoe-7307,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",18,
Washoe,Washoe-7307,President,,"CASTLE, DARRELL",0,IAP
Washoe,Washoe-7307,President,,"CLINTON, HILLARY",11,DEM
